ticker,health,source,mean_auc,min_fold_auc,n_folds,fallback_cohort
360ONE,UNAVAILABLE,own,,,0,
ABB,UNAVAILABLE,own,,,0,
ABCAPITAL,UNAVAILABLE,own,,,0,
ADANIENSOL,UNAVAILABLE,own,,,0,
ADANIENT,UNAVAILABLE,own,,,0,
ADANIGREEN,UNAVAILABLE,own,,,0,
ADANIPORTS,UNAVAILABLE,own,,,0,
ADANIPOWER,UNAVAILABLE,own,,,0,
ALKEM,UNAVAILABLE,own,,,0,
AMBER,UNAVAILABLE,own,,,0,
AMBUJACEM,UNAVAILABLE,own,,,0,
ANGELONE,UNAVAILABLE,own,,,0,
APLAPOLLO,UNAVAILABLE,own,,,0,
APOLLOHOSP,UNAVAILABLE,own,,,0,
ASHOKLEY,UNAVAILABLE,own,,,0,
ASIANPAINT,UNAVAILABLE,own,,,0,
ASTRAL,UNAVAILABLE,own,,,0,
AUBANK,UNAVAILABLE,own,,,0,
AUROPHARMA,UNAVAILABLE,own,,,0,
AXISBANK,UNAVAILABLE,own,,,0,
BAJAJ-AUTO,UNAVAILABLE,own,,,0,
BAJAJFINSV,UNAVAILABLE,own,,,0,
BAJAJHLDNG,UNAVAILABLE,own,,,0,
BAJFINANCE,UNAVAILABLE,own,,,0,
BANDHANBNK,UNAVAILABLE,own,,,0,
BANKBARODA,UNAVAILABLE,own,,,0,
BANKINDIA,UNAVAILABLE,own,,,0,
BDL,UNAVAILABLE,own,,,0,
BEL,UNAVAILABLE,own,,,0,
BHARATFORG,UNAVAILABLE,own,,,0,
BHARTIARTL,UNAVAILABLE,own,,,0,
BHEL,UNAVAILABLE,own,,,0,
BIOCON,UNAVAILABLE,own,,,0,
BLUESTARCO,UNAVAILABLE,own,,,0,
BOSCHLTD,UNAVAILABLE,own,,,0,
BPCL,UNAVAILABLE,own,,,0,
BRITANNIA,UNAVAILABLE,own,,,0,
BSE,UNAVAILABLE,own,,,0,
CAMS,UNAVAILABLE,own,,,0,
CANBK,UNAVAILABLE,own,,,0,
CDSL,UNAVAILABLE,own,,,0,
CGPOWER,UNAVAILABLE,own,,,0,
CHOLAFIN,UNAVAILABLE,own,,,0,
CIPLA,UNAVAILABLE,own,,,0,
COALINDIA,UNAVAILABLE,own,,,0,
COCHINSHIP,UNAVAILABLE,own,,,0,
COFORGE,UNAVAILABLE,own,,,0,
COLPAL,UNAVAILABLE,own,,,0,
CONCOR,UNAVAILABLE,own,,,0,
CROMPTON,UNAVAILABLE,own,,,0,
CUMMINSIND,UNAVAILABLE,own,,,0,
DABUR,UNAVAILABLE,own,,,0,
DALBHARAT,UNAVAILABLE,own,,,0,
DELHIVERY,UNAVAILABLE,own,,,0,
DIVISLAB,UNAVAILABLE,own,,,0,
DIXON,UNAVAILABLE,own,,,0,
DLF,UNAVAILABLE,own,,,0,
DMART,UNAVAILABLE,own,,,0,
DRREDDY,UNAVAILABLE,own,,,0,
EICHERMOT,UNAVAILABLE,own,,,0,
ETERNAL,UNAVAILABLE,own,,,0,
EXIDEIND,UNAVAILABLE,own,,,0,
FEDERALBNK,UNAVAILABLE,own,,,0,
FORCEMOT,UNAVAILABLE,own,,,0,
FORTIS,UNAVAILABLE,own,,,0,
GAIL,UNAVAILABLE,own,,,0,
GLENMARK,UNAVAILABLE,own,,,0,
GMRAIRPORT,UNAVAILABLE,own,,,0,
GODFRYPHLP,UNAVAILABLE,own,,,0,
GODREJCP,UNAVAILABLE,own,,,0,
GODREJPROP,UNAVAILABLE,own,,,0,
