ticker,date,event_date,direction,z,entry_date,entry_price,exit_date,exit_price,next_ret,trade_ret_pct
AUROPHARMA,2026-02-09,2026-02-09,LONG,2.217134522747314,2026-02-04,1212.699951171875,2026-02-06,1191.0,-1.7893916092686875,-1.7893916092686875
AXISBANK,2025-01-16,2025-01-16,LONG,1.5808410546708822,2025-01-13,1048.404052734375,2025-01-15,1025.9232177734375,-2.1442911158445583,-2.1442911158445583
BRITANNIA,2025-02-06,2025-02-06,SHORT,-1.7179775577061511,2025-02-03,5039.5068359375,2025-02-05,4868.84375,-3.386503709459728,3.386503709459728
COLPAL,2026-01-29,2026-01-29,LONG,2.030345327159576,2026-01-23,2166.300048828125,2026-01-28,2154.39990234375,-0.5493304812882438,-0.5493304812882438
COLPAL,2025-07-22,2025-07-22,SHORT,-1.5558504471671002,2025-07-17,2372.341552734375,2025-07-21,2366.40576171875,-0.25020811226711315,0.25020811226711315
DABUR,2025-07-31,2025-07-31,LONG,2.0528664409063193,2025-07-28,519.2589111328125,2025-07-30,519.2589111328125,0.0,0.0
GLENMARK,2024-11-14,2024-11-14,SHORT,-1.8832541136280545,2024-11-11,1630.201416015625,2024-11-13,1535.63330078125,-5.801008041417907,5.801008041417907
IOC,2026-02-05,2026-02-05,SHORT,-2.142451250233493,2026-02-02,162.56044006347656,2026-02-04,170.62872314453125,4.9632512546743754,-4.9632512546743754
ITC,2025-10-30,2025-10-30,LONG,1.6305509308546822,2025-10-27,412.01513671875,2025-10-29,412.9456481933594,0.2258440022422189,0.2258440022422189
JINDALSTEL,2025-01-30,2025-01-30,SHORT,-2.045350540842208,2025-01-27,840.981689453125,2025-01-29,847.319091796875,0.75357197703925,-0.75357197703925
JUBLFOOD,2026-02-10,2026-02-10,LONG,1.611924102216292,2026-02-05,545.0999755859375,2026-02-09,548.3499755859375,0.5962209036069976,0.5962209036069976
LUPIN,2025-11-06,2025-11-06,LONG,1.819881373746297,2025-10-31,1963.5,2025-11-04,1997.0,1.7061370002546472,1.7061370002546472
NAUKRI,2025-02-05,2025-02-05,LONG,3.1918925171311687,2025-02-01,1546.9041748046875,2025-02-04,1531.50341796875,-0.9955857050991541,-0.9955857050991541
OIL,2026-02-10,2026-02-10,SHORT,-2.05433367761524,2026-02-05,490.9908752441406,2026-02-09,482.6681518554688,-1.6950871815150172,1.6950871815150172
ONGC,2025-11-10,2025-11-10,SHORT,-2.328553764815716,2025-11-04,240.6511993408203,2025-11-07,240.50816345214844,-0.05943701467670709,0.05943701467670709
PETRONET,2025-11-07,2025-11-07,SHORT,-1.572941423375621,2025-11-03,277.8956298828125,2025-11-06,268.0978698730469,-3.5256977642639797,3.5256977642639797
PNB,2026-01-19,2026-01-19,LONG,1.9401115814294485,2026-01-14,128.67999267578125,2026-01-16,132.36000061035156,2.8598136027582504,2.8598136027582504
PNB,2025-01-31,2025-01-31,LONG,1.5965677325593295,2025-01-28,96.9701156616211,2025-01-30,93.80191802978516,-3.2671897008882804,-3.2671897008882804
POWERGRID,2025-05-19,2025-05-19,SHORT,-2.047536318091137,2025-05-14,286.58349609375,2025-05-16,290.6990051269531,1.4360593297587587,-1.4360593297587587
RELIANCE,2026-01-16,2026-01-16,SHORT,-1.6111641712558515,2026-01-13,1452.800048828125,2026-01-15,1458.800048828125,0.4129955808330122,-0.4129955808330122
SBIN,2025-11-04,2025-11-04,LONG,2.421730742093647,2025-10-30,934.3499755859376,2025-11-03,949.7000122070312,1.6428572828363932,1.6428572828363932
SUNPHARMA,2025-01-31,2025-01-31,SHORT,-1.58296495505916,2025-01-28,1678.8155517578125,2025-01-30,1711.8897705078125,1.9700924687866674,-1.9700924687866674
TATAELXSI,2026-01-13,2026-01-13,LONG,2.6209756903451153,2026-01-08,5716.5,2026-01-12,5693.5,-0.40234409166448004,-0.40234409166448004
UNIONBANK,2026-01-14,2026-01-14,LONG,2.139695909437299,2026-01-09,162.25999450683594,2026-01-13,166.19000244140625,2.422043675346447,2.422043675346447
VBL,2025-04-30,2025-04-30,SHORT,-1.5119500453514942,2025-04-25,520.2938232421875,2025-04-29,527.4710693359375,1.3794601767565324,-1.3794601767565324
VEDL,2025-10-31,2025-10-31,LONG,1.6095946619180577,2025-10-28,494.1965026855469,2025-10-30,498.6225891113281,0.8956126564492368,0.8956126564492368
