axis,value,n_events,n_unexplained,n_earnings,n_sector,n_insider,share_unexplained,share_earnings,share_sector,share_insider
sector,nan,808,526,236,0,60,0.650990099009901,0.29207920792079206,0.0,0.07425742574257425
sector,NIFTYENERGY,161,99,28,31,10,0.6149068322981367,0.17391304347826086,0.19254658385093168,0.062111801242236024
sector,BANKNIFTY,208,122,55,21,26,0.5865384615384616,0.2644230769230769,0.10096153846153846,0.125
sector,NIFTYAUTO,75,40,28,8,0,0.5333333333333333,0.37333333333333335,0.10666666666666667,0.0
sector,NIFTYFMCG,111,57,42,22,2,0.5135135135135135,0.3783783783783784,0.1981981981981982,0.018018018018018018
sector,NIFTYMETAL,103,48,34,24,7,0.46601941747572817,0.3300970873786408,0.23300970873786409,0.06796116504854369
sector,NIFTYPHARMA,131,51,58,26,15,0.3893129770992366,0.44274809160305345,0.1984732824427481,0.11450381679389313
sector,NIFTYIT,158,46,63,34,50,0.2911392405063291,0.3987341772151899,0.21518987341772153,0.31645569620253167
year,2026,135,84,38,17,8,0.6222222222222222,0.2814814814814815,0.1259259259259259,0.05925925925925926
year,2024,377,218,124,37,27,0.5782493368700266,0.32891246684350134,0.09814323607427056,0.07161803713527852
year,2023,385,215,112,37,43,0.5584415584415584,0.2909090909090909,0.09610389610389611,0.11168831168831168
year,2022,329,181,100,28,35,0.5501519756838906,0.303951367781155,0.0851063829787234,0.10638297872340426
year,2025,326,179,121,27,19,0.549079754601227,0.37116564417177916,0.08282208588957055,0.05828220858895705
year,2021,222,118,60,21,42,0.5315315315315315,0.2702702702702703,0.0945945945945946,0.1891891891891892
regime,nan,75,50,11,2,17,0.6666666666666666,0.14666666666666667,0.02666666666666667,0.22666666666666666
regime,RISK-ON,325,202,85,29,28,0.6215384615384615,0.26153846153846155,0.08923076923076922,0.08615384615384615
regime,RISK-OFF,308,183,80,36,32,0.5941558441558441,0.2597402597402597,0.11688311688311688,0.1038961038961039
regime,NEUTRAL,395,219,129,47,30,0.5544303797468354,0.3265822784810127,0.1189873417721519,0.0759493670886076
regime,CAUTION,361,187,132,31,33,0.518005540166205,0.3656509695290859,0.08587257617728532,0.09141274238227147
regime,EUPHORIA,310,154,118,22,34,0.4967741935483871,0.38064516129032255,0.07096774193548387,0.10967741935483871
abs_z_bucket,"[4.5, 5.0)",378,220,115,34,34,0.582010582010582,0.30423280423280424,0.08994708994708994,0.08994708994708994
abs_z_bucket,"[4.0, 4.5)",593,344,162,55,60,0.5801011804384486,0.27318718381112983,0.09274873524451939,0.10118043844856661
abs_z_bucket,"[5.0, 6.0)",368,210,112,32,39,0.5706521739130435,0.30434782608695654,0.08695652173913043,0.10597826086956522
abs_z_bucket,"[6.0, 8.0)",302,158,112,28,21,0.5231788079470199,0.3708609271523179,0.09271523178807947,0.0695364238410596
abs_z_bucket,"[8.0, ∞)",133,63,54,18,20,0.47368421052631576,0.40601503759398494,0.13533834586466165,0.15037593984962405
direction,UP,1171,706,317,100,110,0.6029035012809565,0.2707087959009394,0.08539709649871904,0.09393680614859094
direction,DOWN,603,289,238,67,64,0.4792703150912106,0.3946932006633499,0.1111111111111111,0.10613598673300166
