date,regime_zone,signal_score
2021-04-23,EUPHORIA,20.3159
2021-04-26,NEUTRAL,-2.6317
2021-04-27,RISK-OFF,-44.6396
2021-04-28,EUPHORIA,85.5049
2021-04-29,EUPHORIA,8.3727
2021-04-30,RISK-OFF,-76.58
2021-05-03,RISK-OFF,-11.446
2021-05-04,RISK-OFF,-33.0941
2021-05-05,EUPHORIA,85.144
2021-05-06,EUPHORIA,49.9146
2021-05-07,EUPHORIA,66.8874
2021-05-10,NEUTRAL,0.0736
2021-05-11,EUPHORIA,17.4047
2021-05-12,RISK-OFF,-113.8382
2021-05-13,EUPHORIA,22.9676
2021-05-14,EUPHORIA,34.8907
2021-05-17,RISK-OFF,-20.0519
2021-05-18,EUPHORIA,32.8646
2021-05-19,RISK-OFF,-19.8501
2021-05-20,EUPHORIA,19.235
2021-05-21,RISK-OFF,-34.0159
2021-05-24,EUPHORIA,48.313
2021-05-25,RISK-OFF,-50.0756
2021-05-26,EUPHORIA,38.0509
2021-05-27,EUPHORIA,49.4226
2021-05-28,EUPHORIA,40.6422
2021-06-01,EUPHORIA,68.2397
2021-06-02,EUPHORIA,65.6659
2021-06-03,RISK-OFF,-14.7207
2021-06-04,EUPHORIA,40.8556
2021-06-07,EUPHORIA,15.2877
2021-06-08,RISK-OFF,-23.5156
2021-06-09,RISK-OFF,-25.4839
2021-06-10,RISK-ON,5.4834
2021-06-11,RISK-OFF,-70.6437
2021-06-14,EUPHORIA,16.551
2021-06-15,EUPHORIA,47.9303
2021-06-16,RISK-OFF,-36.0144
2021-06-17,NEUTRAL,-1.1413
2021-06-18,NEUTRAL,-0.307
2021-06-21,EUPHORIA,49.0894
2021-06-22,EUPHORIA,11.3698
2021-06-23,RISK-OFF,-19.686
2021-06-24,EUPHORIA,29.983
2021-06-25,RISK-OFF,-81.3036
2021-06-28,RISK-OFF,-9.1463
2021-06-29,RISK-OFF,-21.9941
2021-06-30,RISK-OFF,-52.4767
2021-07-01,RISK-OFF,-36.2434
2021-07-02,EUPHORIA,25.3616
2021-07-06,RISK-OFF,-123.1016
2021-07-07,EUPHORIA,48.9221
2021-07-08,RISK-OFF,-61.234
2021-07-09,EUPHORIA,31.7866
2021-07-12,EUPHORIA,39.2352
2021-07-13,EUPHORIA,16.5109
2021-07-14,EUPHORIA,61.5052
2021-07-15,RISK-OFF,-21.4112
2021-07-16,RISK-OFF,-40.2169
2021-07-19,RISK-OFF,-115.4804
2021-07-20,NEUTRAL,0.1313
2021-07-21,EUPHORIA,31.6057
2021-07-22,RISK-OFF,-24.1613
2021-07-23,RISK-OFF,-24.9166
2021-07-26,EUPHORIA,32.0018
2021-07-27,EUPHORIA,9.1195
2021-07-28,EUPHORIA,61.366
2021-07-29,RISK-OFF,-24.6728
2021-07-30,RISK-OFF,-126.8282
2021-08-02,EUPHORIA,39.7074
2021-08-03,RISK-OFF,-17.4024
2021-08-04,RISK-OFF,-50.7328
2021-08-05,RISK-OFF,-21.2689
2021-08-06,EUPHORIA,37.3545
2021-08-09,EUPHORIA,21.0697
2021-08-10,NEUTRAL,-1.6043
2021-08-11,NEUTRAL,2.0871
2021-08-12,RISK-OFF,-14.1539
2021-08-13,EUPHORIA,16.2012
2021-08-16,RISK-OFF,-74.2235
2021-08-17,NEUTRAL,3.3684
2021-08-18,RISK-OFF,-79.5315
2021-08-19,RISK-OFF,-34.9858
2021-08-20,EUPHORIA,36.5846
2021-08-23,RISK-OFF,-34.2624
2021-08-24,EUPHORIA,123.118
2021-08-25,EUPHORIA,36.2166
2021-08-26,RISK-OFF,-114.9502
2021-08-27,EUPHORIA,31.2614
2021-08-30,CAUTION,-5.7352
2021-08-31,RISK-OFF,-33.1056
2021-09-01,RISK-OFF,-26.8271
2021-09-02,RISK-OFF,-52.4063
2021-09-03,RISK-OFF,-30.0794
2021-09-07,EUPHORIA,43.9566
2021-09-08,RISK-OFF,-211.0426
2021-09-09,EUPHORIA,71.3986
2021-09-10,RISK-OFF,-29.5167
2021-09-13,EUPHORIA,23.2922
2021-09-14,RISK-OFF,-45.8182
2021-09-15,RISK-OFF,-40.1797
2021-09-16,CAUTION,-6.3133
2021-09-17,RISK-OFF,-29.6194
2021-09-20,RISK-OFF,-59.4488
2021-09-21,EUPHORIA,67.3682
2021-09-22,EUPHORIA,49.1646
2021-09-23,RISK-OFF,-8.8248
2021-09-24,RISK-OFF,-55.7869
2021-09-27,RISK-OFF,-111.0626
2021-09-28,RISK-OFF,-88.8775
2021-09-29,EUPHORIA,82.9123
2021-09-30,RISK-OFF,-83.9332
2021-10-01,EUPHORIA,111.242
2021-10-04,RISK-OFF,-133.6266
2021-10-05,RISK-OFF,-70.5012
2021-10-06,EUPHORIA,88.3937
2021-10-07,RISK-OFF,-18.1457
2021-10-08,EUPHORIA,73.8568
2021-10-11,NEUTRAL,2.135
2021-10-12,RISK-OFF,-16.2867
2021-10-13,RISK-ON,6.9576
2021-10-14,RISK-OFF,-16.6128
2021-10-15,EUPHORIA,101.1662
2021-10-18,EUPHORIA,29.701
2021-10-19,RISK-OFF,-139.6241
2021-10-20,RISK-OFF,-8.9154
2021-10-21,RISK-OFF,-126.3944
2021-10-22,RISK-OFF,-14.3261
