signal_id,ticker,date,source,regime,engine,classification,side,exit_reason,pnl_pct,mfe_pct,entry_time,exit_time,entry_price,exit_price,stop_pct,atr_14,stop_source,actual_pnl_pct
MISSED-2026-04-16-BHEL-POSSIBLE_OPPORTUNITY,BHEL,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
BRK-2026-04-20-IEX,IEX,2026-04-20,actual,NEUTRAL,phase_c,OPPORTUNITY,SHORT,TRAIL,1.4267,2.6267,2026-04-20 09:30:00,2026-04-20 12:50:00,128.68,126.5868,-2.989,4.0593,atr_14_intraday,5.2
MISSED-2026-04-16-PIIND-POSSIBLE_OPPORTUNITY,PIIND,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-ICICIGI-POSSIBLE_OPPORTUNITY,ICICIGI,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-POLICYBZR-POSSIBLE_OPPORTUNITY,POLICYBZR,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-OBEROIRLTY-POSSIBLE_OPPORTUNITY,OBEROIRLTY,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
BRK-2026-04-20-BHEL,BHEL,2026-04-20,actual,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,LONG,TRAIL,1.2524,2.4524,2026-04-20 09:30:00,2026-04-20 10:46:00,325.8,330.532,-3.5,12.1686,atr_14_intraday_capped,5.32
BRK-2026-04-20-BHEL,BHEL,2026-04-20,actual,NEUTRAL,phase_c,OPPORTUNITY,LONG,TRAIL,1.2524,2.4524,2026-04-20 09:30:00,2026-04-20 10:46:00,325.8,330.532,-3.5,12.1686,atr_14_intraday_capped,5.32
MISSED-2026-04-16-HDFCBANK-OPPORTUNITY,HDFCBANK,2026-04-16,missed,NEUTRAL,phase_c,OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
BRK-2026-04-20-KAYNES,KAYNES,2026-04-20,actual,NEUTRAL,phase_c,OPPORTUNITY,SHORT,TRAIL,0.8746,2.0746,2026-04-20 09:30:00,2026-04-20 10:03:00,4203.3,4158.133,-3.5,180.1928,atr_14_intraday_capped,-1.33
MISSED-2026-04-16-CROMPTON-POSSIBLE_OPPORTUNITY,CROMPTON,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-HEROMOTOCO-POSSIBLE_OPPORTUNITY,HEROMOTOCO,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
BRK-2026-04-20-TMPV,TMPV,2026-04-20,actual,CAUTION,phase_c,OPPORTUNITY,SHORT,TIME_STOP,-0.4675,0.7601,2026-04-20 09:30:00,2026-04-20 14:30:00,355.2,356.15,-3.376,12.1571,atr_14_intraday,-1.27
MISSED-2026-04-20-PREMIERENE-OPPORTUNITY,PREMIERENE,2026-04-20,missed,NEUTRAL,phase_c,OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-20-SBICARD-POSSIBLE_OPPORTUNITY,SBICARD,2026-04-20,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-HAVELLS-POSSIBLE_OPPORTUNITY,HAVELLS,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-HDFCAMC-POSSIBLE_OPPORTUNITY,HDFCAMC,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-RECLTD-POSSIBLE_OPPORTUNITY,RECLTD,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-TVSMOTOR-POSSIBLE_OPPORTUNITY,TVSMOTOR,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-TITAN-POSSIBLE_OPPORTUNITY,TITAN,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-MCX-POSSIBLE_OPPORTUNITY,MCX,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-LUPIN-POSSIBLE_OPPORTUNITY,LUPIN,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-HDFCLIFE-POSSIBLE_OPPORTUNITY,HDFCLIFE,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
MISSED-2026-04-16-BRITANNIA-POSSIBLE_OPPORTUNITY,BRITANNIA,2026-04-16,missed,NEUTRAL,phase_c,POSSIBLE_OPPORTUNITY,,NO_SIDE,,,,,,,-1.0,,fallback_no_side,
