date,ticker,side,score,regime,transition,prev_regime,hit_rate,episodes,tradeable_rate,persistence_rate
2026-02-24,IDEA,LONG,0.053571,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.8571,7,1.0,0.8571
2026-02-24,GODFRYPHLP,LONG,0.035025,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.8571,7,0.8571,0.5714
2026-02-24,AUBANK,LONG,0.03268,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.7143,7,1.0,0.4286
2026-02-24,ABCAPITAL,LONG,0.030414,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.7143,7,1.0,0.4286
2026-02-24,LAURUSLABS,LONG,0.029798,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,1.0,7,1.0,0.7143
2026-02-24,IEX,SHORT,-0.042166,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.5714,7,0.8571,0.2857
2026-02-24,LODHA,SHORT,-0.024529,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.4286,7,1.0,0.2857
2026-02-24,KAYNES,SHORT,-0.022175,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.5714,7,1.0,0.4286
2026-02-24,TMPV,SHORT,-0.020984,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.0,2,1.0,0.0
2026-02-24,MFSL,SHORT,-0.020358,EUPHORIA,RISK-ON->EUPHORIA,CAUTION,0.2857,7,0.7143,0.2857
2026-02-25,KFINTECH,LONG,0.086171,NEUTRAL,CAUTION->NEUTRAL,EUPHORIA,0.8571,9,0.5714,0.8571
2026-02-25,PREMIERENE,LONG,0.073442,NEUTRAL,CAUTION->NEUTRAL,EUPHORIA,1.0,7,0.8,1.0
2026-02-25,WAAREEENER,LONG,0.071368,NEUTRAL,CAUTION->NEUTRAL,EUPHORIA,1.0,7,1.0,1.0
2026-02-25,NAM-INDIA,LONG,0.070526,NEUTRAL,CAUTION->NEUTRAL,EUPHORIA,1.0,9,1.0,0.8571
2026-02-25,LODHA,LONG,0.067529,NEUTRAL,CAUTION->NEUTRAL,EUPHORIA,0.7143,9,1.0,0.5714
2026-02-25,LTM,SHORT,-0.053318,NEUTRAL,RISK-ON->NEUTRAL,EUPHORIA,0.0,2,1.0,1.0
2026-02-25,TMPV,SHORT,-0.050269,NEUTRAL,CAUTION->NEUTRAL,EUPHORIA,0.0,3,1.0,0.0
2026-02-25,CONCOR,SHORT,-0.044644,NEUTRAL,RISK-ON->NEUTRAL,EUPHORIA,0.2917,24,0.9583,0.375
2026-02-25,NMDC,SHORT,-0.035561,NEUTRAL,RISK-ON->NEUTRAL,EUPHORIA,0.3333,24,0.9167,0.4167
2026-02-25,ANGELONE,SHORT,-0.035255,NEUTRAL,RISK-ON->NEUTRAL,EUPHORIA,0.1667,24,0.9167,0.5
