date,regime_zone,signal_score
2026-02-16,CAUTION,-40.0215
2026-02-17,RISK-ON,28.9169
2026-02-18,NEUTRAL,4.669
2026-02-19,RISK-ON,41.1654
2026-02-20,NEUTRAL,13.1601
2026-02-23,CAUTION,-40.988
2026-02-24,EUPHORIA,74.3073
2026-02-25,NEUTRAL,-4.9491
2026-02-26,CAUTION,-19.1647
2026-02-27,RISK-OFF,-55.4852
2026-03-02,CAUTION,-27.3864
2026-03-03,RISK-OFF,-118.9782
2026-03-04,EUPHORIA,79.9073
2026-03-05,RISK-OFF,-95.9258
2026-03-06,RISK-OFF,-61.9628
2026-03-09,EUPHORIA,79.4284
2026-03-10,RISK-ON,26.0529
2026-03-11,CAUTION,-26.7337
2026-03-12,RISK-OFF,-111.7496
2026-03-13,NEUTRAL,-5.7213
2026-03-16,EUPHORIA,104.9445
2026-03-17,RISK-ON,21.2616
2026-03-18,RISK-OFF,-52.0243
2026-03-19,RISK-ON,39.5357
2026-03-20,RISK-OFF,-75.0809
2026-03-23,EUPHORIA,176.9941
2026-03-24,CAUTION,-15.8262
2026-03-25,RISK-ON,43.4203
2026-03-26,CAUTION,-30.2122
2026-03-27,RISK-OFF,-58.29
2026-03-30,EUPHORIA,50.1097
2026-03-31,EUPHORIA,92.9737
2026-04-01,RISK-ON,20.7452
2026-04-02,NEUTRAL,14.9234
2026-04-03,NEUTRAL,14.9253
2026-04-06,NEUTRAL,10.9673
2026-04-07,CAUTION,-17.7733
2026-04-08,EUPHORIA,104.7471
2026-04-09,EUPHORIA,77.2602
2026-04-10,EUPHORIA,56.7707
2026-04-13,RISK-ON,23.6957
2026-04-14,NEUTRAL,5.3208
2026-04-15,CAUTION,-17.9074
2026-04-16,CAUTION,-12.3027
2026-04-17,CAUTION,-34.4386
2026-04-20,NEUTRAL,14.8984
2026-04-21,CAUTION,-24.8401
2026-04-22,CAUTION,-21.9585
2026-04-23,NEUTRAL,8.2463
