date,pair_id,leg_long,leg_short,entry_z,regime,gate_status,direction
2026-02-24,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.416,EUPHORIA,BLOCKED,REVERSE
2026-02-25,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.078,NEUTRAL,BLOCKED,REVERSE
2026-02-26,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",0.92,CAUTION,BLOCKED,REVERSE
2026-02-27,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",0.83,RISK-OFF,BLOCKED,REVERSE
2026-03-02,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.824,CAUTION,BLOCKED,REVERSE
2026-03-03,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.749,RISK-OFF,BLOCKED,REVERSE
2026-03-04,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.425,EUPHORIA,OPEN,REVERSE
2026-03-05,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.049,RISK-OFF,OPEN,REVERSE
2026-03-06,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.513,RISK-OFF,OPEN,REVERSE
2026-03-09,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.816,EUPHORIA,OPEN,REVERSE
2026-03-10,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.709,RISK-ON,OPEN,REVERSE
2026-03-11,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.596,CAUTION,OPEN,REVERSE
2026-03-12,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.297,RISK-OFF,OPEN,REVERSE
2026-03-13,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.143,NEUTRAL,OPEN,REVERSE
2026-03-16,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.556,EUPHORIA,OPEN,REVERSE
2026-03-17,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.872,RISK-ON,OPEN,REVERSE
2026-03-18,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.516,RISK-OFF,OPEN,REVERSE
2026-03-19,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",3.229,RISK-ON,OPEN,REVERSE
2026-03-20,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.657,RISK-OFF,OPEN,REVERSE
2026-03-23,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",3.116,EUPHORIA,OPEN,REVERSE
2026-03-24,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.72,CAUTION,OPEN,REVERSE
2026-03-25,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.504,RISK-ON,OPEN,REVERSE
2026-03-26,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.353,CAUTION,OPEN,REVERSE
2026-03-27,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.932,RISK-OFF,OPEN,REVERSE
2026-03-30,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.918,EUPHORIA,OPEN,REVERSE
2026-03-31,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.703,EUPHORIA,OPEN,REVERSE
2026-04-01,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.799,RISK-ON,OPEN,REVERSE
2026-04-02,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.682,NEUTRAL,OPEN,REVERSE
2026-04-03,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.506,NEUTRAL,OPEN,REVERSE
2026-04-06,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.34,NEUTRAL,OPEN,REVERSE
2026-04-07,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",2.36,CAUTION,OPEN,REVERSE
2026-04-08,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.649,EUPHORIA,BLOCKED,REVERSE
2026-04-09,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.727,EUPHORIA,BLOCKED,REVERSE
2026-04-10,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.539,EUPHORIA,BLOCKED,REVERSE
2026-04-13,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.646,RISK-ON,BLOCKED,REVERSE
2026-04-14,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.582,NEUTRAL,BLOCKED,REVERSE
2026-04-15,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.25,CAUTION,BLOCKED,REVERSE
2026-04-16,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.136,CAUTION,BLOCKED,REVERSE
2026-04-17,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",1.038,CAUTION,BLOCKED,REVERSE
2026-04-20,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",0.912,NEUTRAL,BLOCKED,REVERSE
2026-04-21,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",0.84,CAUTION,BLOCKED,REVERSE
2026-04-22,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",0.869,CAUTION,BLOCKED,REVERSE
2026-04-23,Upstream vs Downstream,"ONGC,OIL","IOC,BPCL",0.84,NEUTRAL,BLOCKED,REVERSE
2026-02-24,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",2.451,EUPHORIA,OPEN,REVERSE
2026-02-25,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",2.238,NEUTRAL,OPEN,REVERSE
2026-02-26,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",2.291,CAUTION,OPEN,REVERSE
2026-02-27,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.939,RISK-OFF,BLOCKED,REVERSE
2026-03-02,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",2.145,CAUTION,OPEN,REVERSE
2026-03-03,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",2.03,RISK-OFF,OPEN,REVERSE
2026-03-04,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.871,EUPHORIA,BLOCKED,REVERSE
2026-03-05,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.984,RISK-OFF,BLOCKED,REVERSE
2026-03-06,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",2.224,RISK-OFF,OPEN,REVERSE
2026-03-09,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.895,EUPHORIA,BLOCKED,REVERSE
2026-03-10,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.974,RISK-ON,BLOCKED,REVERSE
2026-03-11,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.828,CAUTION,BLOCKED,REVERSE
2026-03-12,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.807,RISK-OFF,BLOCKED,REVERSE
2026-03-13,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.621,NEUTRAL,BLOCKED,REVERSE
2026-03-16,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.485,EUPHORIA,BLOCKED,REVERSE
2026-03-17,Defence vs IT,"HAL,BEL,BDL","TCS,INFY,WIPRO",1.734,RISK-ON,BLOCKED,REVERSE
