engine,signal_id,ticker,date,regime,side,classification,exit_reason,pnl_pct,mfe_pct,entry_time,exit_time,entry_price,exit_price,stop_pct,atr_14,stop_source,actual_pnl_pct,zcross_used
phase_b,PHB-2026-02-24-ABCAPITAL,ABCAPITAL,2026-02-24,EUPHORIA,LONG,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.851,9.8714,atr_14_intraday,,
phase_b,PHB-2026-02-24-AUBANK,AUBANK,2026-02-24,EUPHORIA,LONG,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.694,26.2429,atr_14_intraday,,
phase_b,PHB-2026-02-24-GODFRYPHLP,GODFRYPHLP,2026-02-24,EUPHORIA,LONG,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-3.5,142.1714,atr_14_intraday_capped,,
phase_b,PHB-2026-02-24-IDEA,IDEA,2026-02-24,EUPHORIA,LONG,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-3.162,0.3471,atr_14_intraday,,
phase_b,PHB-2026-02-24-IEX,IEX,2026-02-24,EUPHORIA,SHORT,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.594,3.2607,atr_14_intraday,,
phase_b,PHB-2026-02-24-KAYNES,KAYNES,2026-02-24,EUPHORIA,SHORT,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-3.5,193.1571,atr_14_intraday_capped,,
phase_b,PHB-2026-02-24-LAURUSLABS,LAURUSLABS,2026-02-24,EUPHORIA,LONG,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.765,28.1214,atr_14_intraday,,
phase_b,PHB-2026-02-24-LODHA,LODHA,2026-02-24,EUPHORIA,SHORT,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.802,30.0643,atr_14_intraday,,
phase_b,PHB-2026-02-24-MFSL,MFSL,2026-02-24,EUPHORIA,SHORT,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.26,42.2643,atr_14_intraday,,
phase_b,PHB-2026-02-24-TMPV,TMPV,2026-02-24,EUPHORIA,SHORT,RISK-ON->EUPHORIA,FETCH_FAILED,,,,,,,-2.498,9.4929,atr_14_intraday,,
phase_b,PHB-2026-02-25-ANGELONE,ANGELONE,2026-02-25,NEUTRAL,SHORT,RISK-ON->NEUTRAL,FETCH_FAILED,,,,,,,-3.5,8.5909,atr_14_intraday_capped,,
phase_b,PHB-2026-02-25-CONCOR,CONCOR,2026-02-25,NEUTRAL,SHORT,RISK-ON->NEUTRAL,FETCH_FAILED,,,,,,,-1.895,9.5799,atr_14_intraday,,
phase_b,PHB-2026-02-25-KFINTECH,KFINTECH,2026-02-25,NEUTRAL,LONG,CAUTION->NEUTRAL,FETCH_FAILED,,,,,,,-3.5,37.8429,atr_14_intraday_capped,,
phase_b,PHB-2026-02-25-LODHA,LODHA,2026-02-25,NEUTRAL,LONG,CAUTION->NEUTRAL,FETCH_FAILED,,,,,,,-2.938,30.5822,atr_14_intraday,,
phase_b,PHB-2026-02-25-LTM,LTM,2026-02-25,NEUTRAL,SHORT,RISK-ON->NEUTRAL,FETCH_FAILED,,,,,,,-1.0,,fallback,,
phase_b,PHB-2026-02-25-NAM-INDIA,NAM-INDIA,2026-02-25,NEUTRAL,LONG,CAUTION->NEUTRAL,FETCH_FAILED,,,,,,,-3.5,34.8857,atr_14_intraday_capped,,
phase_b,PHB-2026-02-25-NMDC,NMDC,2026-02-25,NEUTRAL,SHORT,RISK-ON->NEUTRAL,FETCH_FAILED,,,,,,,-2.687,2.1708,atr_14_intraday,,
phase_b,PHB-2026-02-25-PREMIERENE,PREMIERENE,2026-02-25,NEUTRAL,LONG,CAUTION->NEUTRAL,FETCH_FAILED,,,,,,,-3.117,24.2179,atr_14_intraday,,
phase_b,PHB-2026-02-25-TMPV,TMPV,2026-02-25,NEUTRAL,SHORT,CAUTION->NEUTRAL,FETCH_FAILED,,,,,,,-2.505,9.4571,atr_14_intraday,,
phase_b,PHB-2026-02-25-WAAREEENER,WAAREEENER,2026-02-25,NEUTRAL,LONG,CAUTION->NEUTRAL,FETCH_FAILED,,,,,,,-2.8,84.6714,atr_14_intraday,,
phase_b,PHB-2026-02-26-AMBER,AMBER,2026-02-26,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-3.127,251.5357,atr_14_intraday,,
phase_b,PHB-2026-02-26-DIXON,DIXON,2026-02-26,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.313,344.1429,atr_14_intraday,,
phase_b,PHB-2026-02-26-KAYNES,KAYNES,2026-02-26,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.5,174.7714,atr_14_intraday_capped,,
phase_b,PHB-2026-02-26-MCX,MCX,2026-02-26,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.5,89.2571,atr_14_intraday_capped,,
phase_b,PHB-2026-02-26-MOTILALOFS,MOTILALOFS,2026-02-26,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.008,22.0607,atr_14_intraday,,
phase_b,PHB-2026-02-26-MUTHOOTFIN,MUTHOOTFIN,2026-02-26,CAUTION,SHORT,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.5,141.376,atr_14_intraday_capped,,
phase_b,PHB-2026-02-26-PGEL,PGEL,2026-02-26,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.284,20.4143,atr_14_intraday,,
phase_b,PHB-2026-02-26-SHREECEM,SHREECEM,2026-02-26,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-2.221,596.7857,atr_14_intraday,,
phase_b,PHB-2026-02-26-TMPV,TMPV,2026-02-26,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-2.443,9.3286,atr_14_intraday,,
phase_b,PHB-2026-02-26-VOLTAS,VOLTAS,2026-02-26,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-2.757,41.9786,atr_14_intraday,,
phase_b,PHB-2026-02-27-ADANIPOWER,ADANIPOWER,2026-02-27,RISK-OFF,LONG,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-3.02,4.2679,atr_14_intraday,,
phase_b,PHB-2026-02-27-BDL,BDL,2026-02-27,RISK-OFF,SHORT,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-3.011,38.3429,atr_14_intraday,,
phase_b,PHB-2026-02-27-HYUNDAI,HYUNDAI,2026-02-27,RISK-OFF,SHORT,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-2.94,64.5,atr_14_intraday,,
phase_b,PHB-2026-02-27-LTM,LTM,2026-02-27,RISK-OFF,SHORT,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-1.0,,fallback,,
phase_b,PHB-2026-02-27-MOTILALOFS,MOTILALOFS,2026-02-27,RISK-OFF,LONG,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-2.915,21.3143,atr_14_intraday,,
phase_b,PHB-2026-02-27-OFSS,OFSS,2026-02-27,RISK-OFF,LONG,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-3.171,217.4286,atr_14_intraday,,
phase_b,PHB-2026-02-27-PREMIERENE,PREMIERENE,2026-02-27,RISK-OFF,LONG,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-3.5,30.875,atr_14_intraday_capped,,
phase_b,PHB-2026-02-27-RECLTD,RECLTD,2026-02-27,RISK-OFF,SHORT,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-2.545,8.9242,atr_14_intraday,,
phase_b,PHB-2026-02-27-SWIGGY,SWIGGY,2026-02-27,RISK-OFF,SHORT,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-3.5,12.2286,atr_14_intraday_capped,,
phase_b,PHB-2026-02-27-UNOMINDA,UNOMINDA,2026-02-27,RISK-OFF,LONG,CAUTION->RISK-OFF,FETCH_FAILED,,,,,,,-2.71,33.345,atr_14_intraday,,
phase_b,PHB-2026-03-02-AMBER,AMBER,2026-03-02,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-2.766,220.5714,atr_14_intraday,,
phase_b,PHB-2026-03-02-DIXON,DIXON,2026-03-02,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.402,358.1429,atr_14_intraday,,
phase_b,PHB-2026-03-02-KAYNES,KAYNES,2026-03-02,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.5,143.3786,atr_14_intraday_capped,,
phase_b,PHB-2026-03-02-MCX,MCX,2026-03-02,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.5,87.8857,atr_14_intraday_capped,,
phase_b,PHB-2026-03-02-MOTILALOFS,MOTILALOFS,2026-03-02,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-2.91,21.1036,atr_14_intraday,,
phase_b,PHB-2026-03-02-MUTHOOTFIN,MUTHOOTFIN,2026-03-02,CAUTION,SHORT,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.5,133.8539,atr_14_intraday_capped,,
phase_b,PHB-2026-03-02-PGEL,PGEL,2026-03-02,CAUTION,LONG,RISK-ON->CAUTION,FETCH_FAILED,,,,,,,-3.085,19.3714,atr_14_intraday,,
phase_b,PHB-2026-03-02-SHREECEM,SHREECEM,2026-03-02,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-2.297,598.9286,atr_14_intraday,,
phase_b,PHB-2026-03-02-TMPV,TMPV,2026-03-02,CAUTION,SHORT,NEUTRAL->CAUTION,FETCH_FAILED,,,,,,,-2.346,8.9786,atr_14_intraday,,
