signal_id,ticker,date,regime,classification,sector,side,exit_reason,pnl_pct,abs_z,z_bucket
BRK-2026-03-04-EXIDEIND,EXIDEIND,2026-03-04,EUPHORIA,POSSIBLE_OPPORTUNITY,Capital_Goods,SHORT,TIME_STOP,-0.4553,1.505620954252441,<2.0
BRK-2026-03-04-PREMIERENE,PREMIERENE,2026-03-04,EUPHORIA,POSSIBLE_OPPORTUNITY,Capital_Goods,SHORT,TIME_STOP,0.0143,0.22919987344468656,<2.0
BRK-2026-03-05-AXISBANK,AXISBANK,2026-03-05,RISK-OFF,OPPORTUNITY_LAG,Banks,SHORT,TIME_STOP,0.652,0.22559106996917072,<2.0
BRK-2026-03-05-HDFCLIFE,HDFCLIFE,2026-03-05,RISK-OFF,OPPORTUNITY_LAG,Insurance,SHORT,TIME_STOP,1.1331,0.1453713679213562,<2.0
BRK-2026-03-05-INFY,INFY,2026-03-05,RISK-OFF,OPPORTUNITY_LAG,IT_Services,SHORT,TIME_STOP,0.0377,0.20547123144992402,<2.0
BRK-2026-03-05-ONGC,ONGC,2026-03-05,RISK-OFF,OPPORTUNITY_LAG,Oil_Gas,SHORT,TIME_STOP,-0.2,0.13314460893804259,<2.0
BRK-2026-03-05-POLICYBZR,POLICYBZR,2026-03-05,RISK-OFF,OPPORTUNITY_LAG,IT_Services,SHORT,TIME_STOP,1.0583,0.05439530095051372,<2.0
BRK-2026-03-05-WIPRO,WIPRO,2026-03-05,RISK-OFF,OPPORTUNITY_LAG,IT_Services,SHORT,TIME_STOP,0.384,0.3990655918872779,<2.0
BRK-2026-03-06-ADANIENT,ADANIENT,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Capital_Goods,SHORT,TIME_STOP,1.1317,0.48468760965743357,<2.0
BRK-2026-03-06-CHOLAFIN,CHOLAFIN,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,NBFC_HFC,SHORT,TIME_STOP,1.4691,1.1401724494454635,<2.0
BRK-2026-03-06-CONCOR,CONCOR,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Logistics_Transport,SHORT,TIME_STOP,-0.4269,0.1298095193321429,<2.0
BRK-2026-03-06-DALBHARAT,DALBHARAT,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Cement_Building,SHORT,TIME_STOP,0.3875,0.614071083324368,<2.0
BRK-2026-03-06-EXIDEIND,EXIDEIND,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Capital_Goods,SHORT,TIME_STOP,0.8865,0.3537097509976303,<2.0
BRK-2026-03-06-HAVELLS,HAVELLS,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Metals_Mining,SHORT,TIME_STOP,-0.296,0.0776557866045008,<2.0
BRK-2026-03-06-HINDPETRO,HINDPETRO,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Oil_Gas,SHORT,TIME_STOP,0.5333,0.994190784164468,<2.0
BRK-2026-03-06-HYUNDAI,HYUNDAI,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Autos,SHORT,TIME_STOP,1.2996,0.9654689691030207,<2.0
BRK-2026-03-06-IEX,IEX,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Capital_Markets,SHORT,TIME_STOP,-0.1755,0.21097322160838752,<2.0
BRK-2026-03-06-JINDALSTEL,JINDALSTEL,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Metals_Mining,SHORT,TIME_STOP,-0.4954,0.0445118673696607,<2.0
BRK-2026-03-06-NATIONALUM,NATIONALUM,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Metals_Mining,SHORT,TIME_STOP,-2.3141,0.1567501507517582,<2.0
BRK-2026-03-06-PETRONET,PETRONET,2026-03-06,RISK-OFF,POSSIBLE_OPPORTUNITY,Oil_Gas,SHORT,TIME_STOP,-0.3873,0.3250363756202627,<2.0
BRK-2026-03-06-PIIND,PIIND,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Chemicals,SHORT,TIME_STOP,0.5087,0.17339595642706984,<2.0
BRK-2026-03-06-POWERGRID,POWERGRID,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Power_Utilities,SHORT,TIME_STOP,-0.5841,0.10063180174982973,<2.0
BRK-2026-03-06-TATAPOWER,TATAPOWER,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,Power_Utilities,SHORT,TIME_STOP,0.7293,0.13608192018567666,<2.0
BRK-2026-03-06-TATATECH,TATATECH,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,IT_Services,SHORT,TIME_STOP,0.6477,0.29776735006969274,<2.0
BRK-2026-03-06-TECHM,TECHM,2026-03-06,RISK-OFF,OPPORTUNITY_LAG,IT_Services,SHORT,TIME_STOP,1.516,0.10007794576862146,<2.0
