ticker,date,time,regime,days_in_regime,expected_return,actual_return,z_score,classification,action,pcr,pcr_class,oi_anomaly,oi_anomaly_type,trade_rec,trade_detail,event_geometry,direction_tested,direction_intended,direction_consistent,regime_zone,signal_id,actual_pnl_pct,actual_open_time_ist,actual_close_time_ist,actual_side,source,regime_history_value,open_price,peak_price,peak_minute,trough_price,trough_minute,close_price_15_30,price_at_14_30,peak_pct,trough_pct,close_pct,pct_at_14_30,range_first_15min,range_first_30min,peak_in_first_15min,trough_in_first_15min,validation,shape,cf_grid_avg_pnl_pct,cf_grid_avg_win,cf_best_grid_pnl_pct,cf_entry_0915_pnl_pct,cf_entry_0915_exit_reason,cf_entry_0915_exit_minute,cf_entry_0920_pnl_pct,cf_entry_0920_exit_reason,cf_entry_0920_exit_minute,cf_entry_0925_pnl_pct,cf_entry_0925_exit_reason,cf_entry_0925_exit_minute,cf_entry_0930_pnl_pct,cf_entry_0930_exit_reason,cf_entry_0930_exit_minute,cf_entry_0945_pnl_pct,cf_entry_0945_exit_reason,cf_entry_0945_exit_minute
LTM,2026-04-24,13:15:51,CAUTION,1,-0.4,-4.21,-12.01,POSSIBLE_OPPORTUNITY,HOLD,1.05,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-24-LTM-POSSIBLE_OPPORTUNITY,,,,,missed,,4440.0,4477.9,4.0,4242.0,172.0,4307.0,4306.1,0.8536036036035954,-4.45945945945946,-2.9954954954954953,-3.0157657657657575,2.3513513513513433,2.759009009009009,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
LTM,2026-04-25,14:45:45,CAUTION,1,-0.4,-3.55,-9.93,POSSIBLE_OPPORTUNITY,HOLD,0.95,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-25-LTM-POSSIBLE_OPPORTUNITY,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
HCLTECH,2026-04-24,14:15:37,CAUTION,1,-0.88,-5.21,-7.52,OPPORTUNITY_OVERSHOOT,ALERT,0.44,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-HCLTECH-OPPORTUNITY_OVERSHOOT,,,,,missed,,1264.4,1254.0,2.0,1199.1,284.0,1202.5,1202.8,-0.822524517557742,-5.164504903511561,-4.89560265738691,-4.871875988611209,2.198671306548557,2.7443846883897534,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
HCLTECH,2026-04-25,10:45:38,CAUTION,1,-0.88,-4.84,-6.87,OPPORTUNITY_OVERSHOOT,ALERT,0.42,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-HCLTECH-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
ADANIGREEN,2026-04-24,12:45:36,CAUTION,1,-0.44,-5.67,-6.45,OPPORTUNITY_OVERSHOOT,ALERT,0.79,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-ADANIGREEN-OPPORTUNITY_OVERSHOOT,,,,,missed,,1222.0,1251.1,336.0,1151.25,191.0,1232.0,1239.0,2.3813420621931187,-5.789689034369886,0.8183306055646481,1.3911620294599019,3.23240589198036,4.746317512274959,False,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
TECHM,2026-04-24,13:33:36,CAUTION,1,-0.18,-4.13,-6.18,OPPORTUNITY_OVERSHOOT,ALERT,0.69,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-TECHM-OPPORTUNITY_OVERSHOOT,,,,,missed,,1407.1,1424.6,4.0,1348.6,356.0,1362.4,1355.1,1.2436927013005472,-4.157487030061829,-3.176746499893385,-3.695544026721626,1.4711107952526505,2.608201265013151,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
MPHASIS,2026-04-24,14:00:53,CAUTION,1,-0.81,-5.89,-5.98,OPPORTUNITY_OVERSHOOT,ALERT,0.79,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-MPHASIS-OPPORTUNITY_OVERSHOOT,,,,,missed,,2266.0,2280.9,4.0,2134.1,289.0,2177.0,2140.0,0.6575463371579917,-5.820829655781116,-3.9276257722859667,-5.560458958517211,1.6328331862312444,2.9523389232126935,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
INFY,2026-04-24,15:18:36,CAUTION,1,-0.26,-3.88,-5.75,OPPORTUNITY_OVERSHOOT,ALERT,0.84,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-INFY-OPPORTUNITY_OVERSHOOT,,,,,missed,,1200.0,1219.1,1.0,1153.2,356.0,1154.8,1154.3,1.591666666666659,-3.8999999999999964,-3.7666666666666706,-3.808333333333337,2.0750000000000077,2.0750000000000077,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
INFY,2026-04-25,15:30:41,CAUTION,1,-0.26,-3.78,-5.6,OPPORTUNITY_OVERSHOOT,ALERT,0.83,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-INFY-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
INFY,2026-04-24,14:15:37,CAUTION,1,-0.26,-3.75,-5.54,POSSIBLE_OPPORTUNITY,HOLD,0.93,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-24-INFY-POSSIBLE_OPPORTUNITY,,,,,missed,,1200.0,1219.1,1.0,1153.2,356.0,1154.8,1154.3,1.591666666666659,-3.8999999999999964,-3.7666666666666706,-3.808333333333337,2.0750000000000077,2.0750000000000077,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
