symbol,event_date,sector,volume_z,short_mom_bps,med_mom_bps,long_mom_bps,peer_drift_bps,sector_drift_bps,peer_dispersion_bps,realized_vol_21d_pct,vix_t1,usdinr_change_5d_bps,in10y_change_5d_bps,trust_score_pct,trust_tier,liq_decile,dte_monthly_exp,quarter,stock_event_ret_bps,sector_event_ret_bps,excess_event_ret_bps,direction_proxy,regime,ret_h1_bps,ret_h3_bps,ret_h5_bps,ret_h10_bps,ret_h21_bps
AUBANK,2022-01-28,Banks,-0.1044,172.64,2616.33,864.88,195.44,195.44,319.43,38.7188,,99.59,13.8,83.3,HIGH,4,27,1,-32.53,-27.82,-4.71,MISS_LIKE,NEUTRAL,-32.53,558.91,824.25,801.52,-321.39
AUBANK,2022-04-26,Banks,1.5824,-362.9,1027.03,1599.3,-112.94,-112.94,184.01,30.6972,,39.57,-10.8,83.3,HIGH,4,2,2,340.41,179.44,160.96,BEAT_LIKE,NEUTRAL,340.41,288.18,15.71,-776.14,-585.12
AUBANK,2022-07-19,Banks,-0.4381,-342.29,-926.49,-1171.58,116.9,116.9,239.75,30.6493,,69.21,4.6,83.3,HIGH,4,9,3,160.61,219.77,-59.16,MISS_LIKE,RISK-ON,160.61,529.39,438.76,861.74,1590.94
AUBANK,2022-10-19,Banks,0.0767,631.32,-425.47,-1184.26,422.79,422.79,303.45,43.515,,14.85,-0.9,83.3,HIGH,4,8,4,5.59,5.96,-0.36,MISS_LIKE,NEUTRAL,5.59,-739.29,-810.42,-143.86,-214.2
AUBANK,2023-01-19,Banks,-0.6761,21.49,-605.88,1127.54,-18.1,-18.1,235.07,21.3626,,41.3,3.9,83.3,HIGH,4,7,1,-131.06,-22.73,-108.33,MISS_LIKE,NEUTRAL,-131.06,181.1,-216.04,-65.93,-254.17
AUBANK,2023-04-25,Banks,0.2953,-420.6,1454.45,606.28,23.79,23.79,241.19,60.6514,,-17.66,-11.0,83.3,HIGH,4,2,2,-56.48,61.98,-118.46,MISS_LIKE,NEUTRAL,-56.48,-292.97,302.76,545.26,1536.38
AUBANK,2023-07-24,Banks,-0.7772,-1.95,371.36,2234.25,165.84,165.84,255.72,24.0201,,-7.31,1.3,83.3,HIGH,4,3,3,-366.87,-22.46,-344.41,MISS_LIKE,RISK-ON,-366.87,-460.05,-548.68,-370.13,-505.67
AUBANK,2023-10-30,Banks,0.1322,-138.61,-746.23,722.46,-244.07,-244.07,279.24,18.5403,,13.5,-1.4,83.3,HIGH,4,31,4,-349.95,-4.77,-345.18,MISS_LIKE,NEUTRAL,-349.95,-310.82,-302.13,132.59,842.63
AUBANK,2024-01-25,Banks,1.2541,-266.04,-419.73,-391.63,-130.57,-130.57,421.52,28.9017,,-6.25,1.8,83.3,HIGH,4,0,1,-398.78,7.92,-406.7,MISS_LIKE,RISK-ON,-398.78,-1519.16,-1387.59,-1921.33,-1862.33
AUBANK,2024-04-24,Banks,-0.1409,-63.58,885.87,-1407.63,242.14,242.14,239.04,24.5671,,-43.99,-2.6,83.3,HIGH,4,1,2,155.05,1.8,153.24,BEAT_LIKE,NEUTRAL,155.05,-159.15,395.41,251.85,182.94
AXISBANK,2022-01-24,Banks,0.4674,-2.1,674.16,-567.91,-337.29,-337.29,188.16,23.021,,20.79,-1.6,94.5,HIGH,6,3,1,-110.88,-206.83,95.96,BEAT_LIKE,CAUTION,-110.88,861.05,849.82,1082.1,935.44
AXISBANK,2022-04-28,Banks,-0.4619,-447.74,406.25,-937.17,-192.34,-192.34,184.71,20.6285,,48.53,-6.1,94.5,HIGH,6,0,2,181.49,57.55,123.94,BEAT_LIKE,RISK-ON,181.49,-503.33,-829.74,-1517.82,-1013.19
AXISBANK,2022-07-25,Banks,0.2838,675.68,1543.57,40.64,484.53,484.53,290.49,22.5795,,-21.25,-2.3,94.5,HIGH,6,3,3,-46.53,-60.82,14.29,BEAT_LIKE,RISK-ON,-46.53,-161.48,-82.11,-30.79,265.48
AXISBANK,2022-10-20,Banks,0.309,347.26,210.4,458.2,569.21,569.21,275.8,30.8319,,100.8,2.9,94.5,HIGH,6,7,4,-48.2,5.25,-53.46,MISS_LIKE,NEUTRAL,-48.2,959.21,1027.9,412.12,484.42
AXISBANK,2023-01-23,Banks,-0.2994,190.55,264.17,3004.68,-203.62,-203.62,240.92,19.4555,,-82.24,2.0,94.5,HIGH,6,3,1,23.1,13.95,9.15,BEAT_LIKE,NEUTRAL,23.1,-410.51,-630.81,-514.75,-929.56
AXISBANK,2023-04-27,Banks,2.0547,217.55,457.71,-141.6,151.95,151.95,294.14,15.1874,,-46.26,-10.4,94.5,HIGH,6,0,2,-70.41,84.32,-154.73,MISS_LIKE,RISK-ON,-70.41,-191.52,-244.47,93.51,442.74
AXISBANK,2023-07-26,Banks,-0.185,-18.67,30.53,374.52,-0.58,-0.58,272.95,13.9106,,-24.37,2.8,94.5,HIGH,6,1,3,148.57,144.88,3.7,BEAT_LIKE,NEUTRAL,148.57,-130.39,-27.01,-99.74,195.84
