symbol,event_date,sector,direction_proxy,regime,insider_buy_inr,insider_sell_inr,insider_net_inr,n_buy,n_sell,any_insider
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,0.0,100031300.0,-100031300.0,0,1,1
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,0.0,140071.0,-140071.0,0,1,1
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
AUBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AXISBANK,2022-01-24,Banks,BEAT_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
AXISBANK,2022-04-28,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
AXISBANK,2022-07-25,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
AXISBANK,2022-10-20,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AXISBANK,2023-01-23,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AXISBANK,2023-04-27,Banks,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
AXISBANK,2023-07-26,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AXISBANK,2023-10-25,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AXISBANK,2024-01-23,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
AXISBANK,2024-04-24,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2021-11-09,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANDHANBNK,2022-01-21,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2022-05-13,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2022-07-22,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANDHANBNK,2022-10-28,Banks,MISS_LIKE,EUPHORIA,0.0,0.0,0.0,0,0,0
BANDHANBNK,2023-01-20,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2023-05-19,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2023-07-14,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2023-10-18,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANDHANBNK,2024-02-09,Banks,BEAT_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
BANKBARODA,2021-11-10,Banks,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANKBARODA,2022-02-07,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2022-05-13,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2022-05-31,Banks,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANKBARODA,2022-08-01,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2022-11-07,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2023-02-03,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANKBARODA,2023-05-16,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2023-08-07,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2023-11-06,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKBARODA,2024-01-31,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKINDIA,2021-11-02,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANKINDIA,2022-05-24,Banks,BEAT_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
BANKINDIA,2022-08-02,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
BANKINDIA,2022-11-03,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKINDIA,2023-01-17,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKINDIA,2023-05-08,Banks,MISS_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
BANKINDIA,2023-07-28,Banks,MISS_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
BANKINDIA,2023-11-06,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
BANKINDIA,2024-02-02,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
CANBK,2022-01-27,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
CANBK,2022-05-06,Banks,MISS_LIKE,RISK-OFF,0.0,0.0,0.0,0,0,0
CANBK,2022-07-25,Banks,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
CANBK,2022-10-20,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
CANBK,2023-01-23,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
CANBK,2023-05-08,Banks,MISS_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
CANBK,2023-07-24,Banks,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
CANBK,2023-10-26,Banks,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
CANBK,2024-01-24,Banks,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
COFORGE,2022-01-27,IT_Services,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
COFORGE,2022-05-12,IT_Services,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
COFORGE,2022-07-22,IT_Services,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
COFORGE,2022-10-20,IT_Services,BEAT_LIKE,NEUTRAL,145865720.0,0.0,145865720.0,2,0,1
COFORGE,2023-01-20,IT_Services,BEAT_LIKE,NEUTRAL,0.0,114604291.0,-114604291.0,0,2,1
COFORGE,2023-04-27,IT_Services,BEAT_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
COFORGE,2023-07-20,IT_Services,MISS_LIKE,RISK-ON,0.0,0.0,0.0,0,0,0
COFORGE,2023-10-19,IT_Services,BEAT_LIKE,NEUTRAL,1020800319.0,0.0,1020800319.0,2,0,1
COFORGE,2024-01-23,IT_Services,MISS_LIKE,NEUTRAL,503051803.0,225834659.0,277217144.0,1,3,1
ETERNAL,2022-02-10,IT_Services,BEAT_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
ETERNAL,2022-05-23,IT_Services,MISS_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
ETERNAL,2022-08-01,IT_Services,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
ETERNAL,2022-11-10,IT_Services,MISS_LIKE,RISK-OFF,0.0,0.0,0.0,0,0,0
ETERNAL,2023-02-09,IT_Services,MISS_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
ETERNAL,2023-05-19,IT_Services,BEAT_LIKE,NEUTRAL,0.0,0.0,0.0,0,0,0
ETERNAL,2023-08-03,IT_Services,BEAT_LIKE,CAUTION,0.0,0.0,0.0,0,0,0
