symbol,event_date,horizon,regime,direction_proxy,trust_tier,entry_S,exit_S,call_entry_premium,call_exit,put_entry_premium,put_exit,straddle_entry_premium,straddle_exit,pnl_futures_bps,pnl_long_call_bps,pnl_long_put_bps,pnl_long_straddle_bps,call_premium_pct_S,put_premium_pct_S
AUBANK,2022-01-28,1,NEUTRAL,MISS_LIKE,HIGH,634.68,632.61,30.84,28.98,26.97,27.35,57.81,56.33,-32.53,-602.72,141.37,-255.56,4.859,4.249
AUBANK,2022-01-28,3,NEUTRAL,MISS_LIKE,HIGH,634.68,670.15,30.84,51.22,26.97,12.41,57.81,63.63,558.91,6610.65,-5399.09,1007.45,4.859,4.249
AUBANK,2022-01-28,5,NEUTRAL,MISS_LIKE,HIGH,634.68,686.99,30.84,62.79,26.97,7.48,57.81,70.27,824.25,10361.14,-7224.99,2156.25,4.859,4.249
AUBANK,2022-01-28,10,NEUTRAL,MISS_LIKE,HIGH,634.68,685.55,30.84,58.05,26.97,5.07,57.81,63.13,801.52,8826.42,-8119.27,920.32,4.859,4.249
AUBANK,2022-01-28,21,NEUTRAL,MISS_LIKE,HIGH,634.68,614.28,30.84,0.0,26.97,20.4,57.81,20.4,-321.39,-10000.0,-2436.82,-6471.36,4.859,4.249
AUBANK,2022-04-26,1,NEUTRAL,BEAT_LIKE,HIGH,681.07,704.25,26.69,40.34,22.54,13.2,49.23,53.54,340.41,5114.79,-4145.33,874.96,3.919,3.31
AUBANK,2022-04-26,3,NEUTRAL,BEAT_LIKE,HIGH,681.07,700.7,26.69,36.6,22.54,13.38,49.23,49.98,288.18,3710.88,-4062.65,151.7,3.919,3.31
AUBANK,2022-04-26,5,NEUTRAL,BEAT_LIKE,HIGH,681.07,682.14,26.69,23.83,22.54,19.55,49.23,43.38,15.71,-1071.9,-1326.36,-1188.41,3.919,3.31
AUBANK,2022-04-26,10,NEUTRAL,BEAT_LIKE,HIGH,681.07,628.21,26.69,2.68,22.54,53.28,49.23,55.96,-776.14,-8995.46,13634.37,1365.81,3.919,3.31
AUBANK,2022-04-26,21,NEUTRAL,BEAT_LIKE,HIGH,681.07,641.22,26.69,0.0,22.54,39.85,49.23,39.85,-585.12,-10000.0,7678.82,-1905.59,3.919,3.31
AUBANK,2022-07-19,1,RISK-ON,MISS_LIKE,HIGH,554.48,563.38,21.7,26.32,18.32,14.19,40.02,40.51,160.61,2130.84,-2253.64,123.65,3.913,3.304
AUBANK,2022-07-19,3,RISK-ON,MISS_LIKE,HIGH,554.48,583.83,21.7,39.38,18.32,7.11,40.02,46.48,529.39,8147.44,-6121.5,1615.21,3.913,3.304
AUBANK,2022-07-19,5,RISK-ON,MISS_LIKE,HIGH,554.48,578.81,21.7,34.54,18.32,7.6,40.02,42.14,438.76,5918.8,-5851.05,530.64,3.913,3.304
