event_symbol,event_date,sector,event_direction,event_regime,peer_symbol,peer_ret_h1_bps,peer_ret_h3_bps,peer_ret_h5_bps
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,AXISBANK,108.60085061589265,502.40001776742906,433.1395343346381
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,BANDHANBNK,-44.269741048017536,112.9418558868384,77.00137572895747
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,BANKBARODA,403.184849718069,573.73504800103,309.77019832828273
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,BANKINDIA,-173.44151357178924,442.5500390359749,223.7233355242256
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,CANBK,571.4682644273059,1210.7982200902588,884.7542978961475
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,CUB,24.377706630156332,241.14020577063,66.02967322783206
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,FEDERALBNK,39.83980729729475,119.0495206713275,-130.58898329630566
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,HDFCBANK,152.26107456083193,453.91769537581064,406.7852573440497
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,ICICIBANK,97.45536824545758,408.8590078790538,301.3720001614917
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,IDFCFIRSTB,32.13770555807132,563.2356340609775,275.1501043622473
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,INDIANB,430.3132231477453,1135.546160347161,1153.3720444570113
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,INDUSINDBK,-354.2731292351775,764.6498978490954,564.7876892183118
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,KOTAKBANK,-218.61842162755937,230.68516302059018,-74.55582060827162
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,PNB,169.90725186781594,466.3122590389413,157.86685960992085
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,RBLBANK,50.70187724863751,473.2064690847054,141.32181586739694
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,SBIN,279.744038376849,307.57073283330925,130.01189664658625
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,UNIONBANK,74.11510912964175,568.0409895979748,199.9022672598061
AUBANK,2022-01-28,Banks,MISS_LIKE,NEUTRAL,YESBANK,-37.52363852094483,222.23080263698517,258.79405491056764
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,AXISBANK,-118.11379544382943,-617.3809493628985,-915.4949081128415
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,BANDHANBNK,-187.06060233347625,-164.6078329831741,-423.613673893459
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,BANKBARODA,51.813263960444786,-227.6804171287178,-657.5138986074774
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,BANKINDIA,-71.46577248440892,-205.55705598409736,-543.4983547264472
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,CANBK,-164.79805326364408,-253.66867935852602,-552.0000283582849
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,CUB,-71.78806254477534,-195.0210336866928,-562.751950192375
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,FEDERALBNK,-46.26047177602429,-155.0417004121359,-317.81822616804453
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,HDFCBANK,3.6431228698255484,91.0520495609028,-117.6695505594917
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,ICICIBANK,-228.80059264257795,-139.6112127820408,-399.2405926498509
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,IDFCFIRSTB,-112.71256901482376,-163.217961170421,-445.64942322715723
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,INDIANB,70.71438087588206,89.0793909847136,-438.3482214437215
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,INDUSINDBK,-60.87087523627573,-19.397519694600863,-21.952628339667672
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,KOTAKBANK,-6.888686712610617,271.98883566241744,187.02756729525615
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,PNB,-56.3379292455949,-141.44562003680048,-357.4369887022326
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,RBLBANK,-187.14973378738796,-315.27690066502487,-606.4988833865685
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,SBIN,-164.55218116618155,-183.67553874786708,-524.9138292907313
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,UNIONBANK,-150.18977735791924,-548.9566254274158,-747.7716485653019
AUBANK,2022-04-26,Banks,BEAT_LIKE,NEUTRAL,YESBANK,-146.5226271049682,-72.9933042811219,-146.5226271049682
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,AXISBANK,72.53140378415799,421.3434446606143,83.15477711243136
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,BANDHANBNK,-200.07613306022802,-61.00169313355862,-610.8080929522555
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,BANKBARODA,-57.84181170017799,297.22461336927364,331.618111724554
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,BANKINDIA,125.7878330223384,342.17854405480864,-202.45847203689655
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,CANBK,-153.53737735966916,260.95972535692704,-69.70334027934587
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,CUB,-15.83586772904681,375.761844580097,262.35018995729547
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,FEDERALBNK,-179.08136729572365,14.001323266672966,-126.91228102257399
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,HDFCBANK,125.31888856688717,324.415442203502,333.38687857504357
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,ICICIBANK,31.333863227741347,245.47293231262697,198.48987895687145
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,IDFCFIRSTB,-99.78691494751547,140.84697363810972,112.83562021400516
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,INDIANB,60.14590816904855,244.05300949368865,-86.55597074074015
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,INDUSINDBK,128.19201155079506,821.7592015182381,1022.915396198631
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,KOTAKBANK,-39.316196899528016,-42.87208890878103,-407.94629662238486
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,PNB,-63.493257935202266,63.09076315888114,0.0
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,RBLBANK,5.469063576394234,87.14642156718881,81.72270015524524
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,SBIN,211.62145540469163,311.39741128636297,321.12568802698445
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,UNIONBANK,-132.80350397374878,78.84326065047196,-199.87423396359515
AUBANK,2022-07-19,Banks,MISS_LIKE,RISK-ON,YESBANK,73.80135346866831,851.5779536514593,147.06133467442623
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,AXISBANK,-48.318141678261085,915.9508698189114,978.43048378216
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,BANDHANBNK,63.10458939873041,-3.7240544738027,79.74104654030255
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,BANKBARODA,208.26605928595032,471.3013999874997,828.2994203938847
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,BANKINDIA,234.10875475812352,541.2155574418349,1657.0652700492687
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,CANBK,389.8906176499455,828.1917864355416,1510.4782887861636
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,CUB,-320.82741013967643,-323.49988549316487,-248.93258334513536
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,FEDERALBNK,-76.45279763092904,259.3648295671917,248.22597607078515
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,HDFCBANK,-67.75634655378103,16.440668790272323,-29.178472749288886
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,ICICIBANK,-38.746927838035425,376.19957914337607,355.6664807554718
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,IDFCFIRSTB,-52.677483356044945,34.96523435058298,-52.677483356044945
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,INDIANB,191.69957495526234,747.8252809520784,890.0637333646127
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,INDUSINDBK,-491.6171450549346,-613.9186502907853,-643.1970295239154
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,KOTAKBANK,-31.075605419904868,140.50116671653555,-23.297440832139134
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,PNB,288.05954443225477,435.1208370697811,887.0422653950534
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,RBLBANK,3.8834146863623533,-113.25937198386242,573.5256324937727
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,SBIN,36.075136928902864,304.3203455560361,463.43385977287903
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,UNIONBANK,224.7285786478963,557.7454452422047,1354.235032804097
AUBANK,2022-10-19,Banks,MISS_LIKE,NEUTRAL,YESBANK,31.397320381760284,-94.78719962736659,-94.78719962736659
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,AXISBANK,19.90029578323739,-201.21459183530786,-609.9159757106187
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,BANDHANBNK,38.02136290808846,499.48482460086564,165.8120412821271
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,BANKBARODA,81.17633055735277,2.810731528518768,-1233.8467080970267
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,BANKINDIA,16.644132832598395,-483.45948253679563,-1449.3910453438705
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,CANBK,-37.55235939685031,0.0,-954.6636015430804
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,CUB,15.661229322699043,-257.19871600599834,-511.28380633914736
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,FEDERALBNK,-129.51309352473615,-73.80262371517985,-298.53008215862917
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,HDFCBANK,101.96669812389166,307.8460399687951,-173.62799757968412
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,ICICIBANK,48.37302418525653,52.96834571733554,-581.7423574026652
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,IDFCFIRSTB,-8.421414635879774,-101.52418800852514,-643.1411274961407
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,INDIANB,-24.370421607596644,88.27346003684565,-184.23257859497468
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,INDUSINDBK,15.812682142933074,97.39588548176803,-726.7062883791042
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,KOTAKBANK,-24.92827521807982,-39.97181560285944,-311.48358889202683
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,PNB,-43.80232265186671,-301.70898542259505,-1186.5751334347592
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,RBLBANK,148.3275215615557,-399.38265420841395,-1048.29250289601
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,SBIN,39.76327254888167,76.00036516253374,-883.9171990810654
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,UNIONBANK,-42.98406931033836,-117.10350069588857,-856.7540321462142
AUBANK,2023-01-19,Banks,MISS_LIKE,NEUTRAL,YESBANK,-200.50778114061075,-1017.8263345869293,-1410.0338853172354
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,AXISBANK,105.32400792422085,-211.127556315252,-212.8718186413563
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,BANDHANBNK,17.889551645016624,260.6733426757566,373.42305952451767
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,BANKBARODA,-29.9202769391102,196.32239724483662,24.412826645054736
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,BANKINDIA,-12.501474229794384,481.653080682418,439.89890726693693
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,CANBK,63.17330719110628,311.9510627897068,376.32036082229416
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,CUB,-3.752699059944165,611.3215733886468,667.6401766048831
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,FEDERALBNK,119.22711305535228,115.5224145931822,317.2527758902819
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,HDFCBANK,45.86376301682507,139.9284590530129,172.76206918178113
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,ICICIBANK,16.407614097379213,45.8739214418564,102.37943939610784
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,IDFCFIRSTB,42.535678503771,466.362866639727,896.3655802417511
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,INDIANB,66.00646374533218,165.75773986722766,532.7027723215202
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,INDUSINDBK,142.0662354272184,273.0381435133357,215.18547662756762
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,KOTAKBANK,-56.79448098141071,254.75889627520874,218.0583641904601
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,PNB,89.95531319763802,480.2492961839237,537.5009031101515
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,RBLBANK,19.58260780182625,555.963164185562,116.92252161096434
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,SBIN,80.66301826997758,289.468189107367,153.67299453134066
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,UNIONBANK,141.17883663980032,267.21695547212903,254.02428680004365
AUBANK,2023-04-25,Banks,MISS_LIKE,NEUTRAL,YESBANK,-32.20626965949747,96.000493143942,378.5937515709817
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,AXISBANK,-93.07236358763797,-120.1211367223496,-182.8236156690496
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,BANDHANBNK,-20.601592008966794,-96.50717588541167,214.91693702050057
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,BANKBARODA,-111.53571056755322,45.27091228276149,192.24083144654068
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,BANKINDIA,-155.3196087016377,47.30955649816905,117.85638507510694
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,CANBK,-203.70895930834303,149.01645188922214,135.95766258078166
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,CUB,-53.8247746218503,287.246768096801,212.45205822078577
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,FEDERALBNK,-101.29544779819464,-3.7337439104061865,126.11454545186629
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,HDFCBANK,107.85197686053925,-31.32974094544417,-163.38815631840424
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,ICICIBANK,27.181358103488527,-17.655886785262553,63.307576596728154
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,IDFCFIRSTB,-77.96063089725878,-138.3471047255529,409.65323006080405
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,INDIANB,-202.99967429610658,-222.7671864828435,322.22952240610863
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,INDUSINDBK,-142.0507123023662,-140.9904313164495,-125.81440716204449
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,KOTAKBANK,-115.30198021697213,-124.63747863115317,-216.85566529180173
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,PNB,-228.02240089357824,48.193304049487416,-40.33830747472357
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,RBLBANK,58.388836144736445,466.42958966013003,260.1023148092217
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,SBIN,-131.18997494260455,-17.825062487488008,41.20124017137225
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,UNIONBANK,-73.59200823965288,381.78837400942933,370.5589736422728
AUBANK,2023-07-24,Banks,MISS_LIKE,RISK-ON,YESBANK,-203.2002531459286,-262.02305459300226,-262.02305459300226
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,AXISBANK,-74.58001814110614,-63.38302575272816,202.14826601394824
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,BANDHANBNK,-23.321495961851635,13.966113465890276,147.97972874452157
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,BANKBARODA,-103.94396665382983,82.88371554323881,-134.5707736982269
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,BANKINDIA,20.887394278591973,454.7396910994365,534.3424073162222
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,CANBK,45.63678373303821,144.01825946215789,59.93581030397964
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,CUB,327.5366149862199,280.35827282355825,392.4955275822823
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,FEDERALBNK,-17.758515141638608,38.96048023817956,224.57300177706085
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,HDFCBANK,-58.07756381479952,-56.38405925850329,63.09569113591283
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,ICICIBANK,-103.79194845397812,-53.663100927989404,219.75354772106263
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,IDFCFIRSTB,-60.27727887076269,-108.76151945259407,-54.23335960312454
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,INDIANB,203.21595886494924,345.0461146241437,237.6767153698169
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,INDUSINDBK,-92.19803162697943,44.92656461118604,106.67130606495601
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,KOTAKBANK,126.70427676397861,116.92610568848974,131.30241103623294
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,PNB,-20.526779133415737,149.25625281691728,236.4184424420099
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,RBLBANK,-112.76713452725677,-44.953955413201975,330.86323933573544
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,SBIN,6.189678684799464,121.33987244486502,160.5922717804416
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,UNIONBANK,188.77845068381373,598.5738053053125,407.8189047933614
AUBANK,2023-10-30,Banks,MISS_LIKE,NEUTRAL,YESBANK,0.0,62.49984768300368,459.4994783515067
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,AXISBANK,180.65603260869264,241.71832760666192,235.16157902409327
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,BANDHANBNK,105.79680268996987,357.8554473066023,353.48757093758405
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,BANKBARODA,312.1860980699964,866.4431419167349,1170.732128271914
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,BANKINDIA,299.6484384073834,551.0740398942207,1419.08712872601
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,CANBK,196.84711348026053,352.61805526121145,1002.2168770943935
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,CUB,154.6059865366916,258.66477846085405,-283.73339278207453
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,FEDERALBNK,254.14690654789672,380.5375520845455,281.611211172648
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,HDFCBANK,136.7009896698339,190.86308745054876,78.09699413573279
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,ICICIBANK,63.66113810995744,178.60250493239928,138.15650083198966
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,IDFCFIRSTB,421.9517678282379,523.232871359703,307.5273156049261
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,INDIANB,422.9723434258828,797.7543525623029,1699.9731712828539
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,INDUSINDBK,97.40814003909307,144.77997725375207,142.82386914305113
AUBANK,2024-01-25,Banks,MISS_LIKE,RISK-ON,KOTAKBANK,303.5351899528993,316.41811409058124,303.80952114793337
