symbol,event_date,entry_date,exit_date,entry_price,exit_price,exit_reason,volume_z,short_mom_bps,realized_vol_21d_pct,regime,atr_14_pct,gross_bps,net_s0_bps,net_s1_bps,net_s2_bps
WIPRO,2021-07-15,2021-07-14,2021-07-22,259.47711181640625,269.8710021972656,time_stop,0.6682215452171667,540.4252635776246,31.255578821534115,NEUTRAL,0.01888403887799171,400.57060555744204,390.57060555744204,380.57060555744204,370.57060555744204
MPHASIS,2021-07-22,2021-07-20,2021-07-28,2120.89599609375,2317.1806640625,time_stop,0.8683646211609942,779.2162639517209,36.129962496457075,NEUTRAL,0.03670497517061528,925.4799307946527,915.4799307946527,905.4799307946527,895.4799307946527
KPITTECH,2021-07-26,2021-07-23,2021-07-30,277.49078369140625,274.3264465332031,time_stop,1.3851410073495822,1020.519265239121,32.909072190695085,RISK-ON,0.03895990968337312,-114.03395515009795,-124.03395515009795,-134.03395515009794,-144.03395515009794
TECHM,2021-10-25,2021-10-22,2021-10-29,1307.822998046875,1273.693603515625,time_stop,1.9433785097586542,587.9757369301527,34.73985112803971,NEUTRAL,0.03561426749432225,-260.96340699176767,-270.96340699176767,-280.96340699176767,-290.96340699176767
PNB,2021-10-27,2021-10-26,2021-10-28,42.54205322265625,38.77762243263446,atr_stop,0.8552896745280799,377.82197317736416,40.182702821768565,NEUTRAL,0.04424364252378168,-884.8728504756332,-894.8728504756332,-904.8728504756332,-914.8728504756332
RBLBANK,2021-10-28,2021-10-27,2021-10-29,204.73179626464844,190.2941807518514,atr_stop,1.9056757555131476,972.5682328521256,35.240707115638045,NEUTRAL,0.035259827189065736,-705.1965437813146,-715.1965437813146,-725.1965437813146,-735.1965437813146
INDIANB,2021-10-28,2021-10-27,2021-10-29,168.0740966796875,150.03288465046356,atr_stop,1.9768899276429972,1476.180501456682,53.77338092543087,NEUTRAL,0.05367041199574775,-1073.4082399149559,-1083.4082399149559,-1093.4082399149559,-1103.4082399149559
BANDHANBNK,2021-11-09,2021-11-08,2021-11-15,288.6907958984375,305.3967590332031,time_stop,1.3816075268733692,138.00441449823484,51.7644814708294,RISK-ON,0.05195795248136551,578.6801440196543,568.6801440196543,558.6801440196543,548.6801440196543
BANKBARODA,2022-02-05,2022-02-04,2022-02-11,94.45825958251952,100.6638641357422,time_stop,1.5207355940844192,309.77019832828273,43.22476491984199,NEUTRAL,0.04377554222621887,656.9679116098271,646.9679116098271,636.9679116098271,626.9679116098271
UNIONBANK,2022-02-07,2022-02-04,2022-02-11,41.45529556274414,39.987083435058594,time_stop,2.773016750861166,199.9022672598061,49.060497848323216,NEUTRAL,0.046577386587248595,-354.1675696084112,-364.1675696084112,-374.1675696084112,-384.1675696084112
