date,snap_t,ticker,sector,side,entry_px,vwap_dev_z,hour_balance_dev_z,range_pctile,atr_14,exit_px,exit_reason,pnl_pct_gross,pnl_pct_net_s1
2021-06-21,10:15:00,BAJFINANCE,NBFC_HFC,SHORT,6106.5498,2.0890,3.4937,75.00,18.0537,6113.5498,TIME_STOP,-0.001146,-0.004146
2021-06-21,10:15:00,TATASTEEL,Metals_Mining,SHORT,1090.0000,1.9363,3.8310,70.00,3.1258,1095.4702,STOP,-0.005019,-0.008019
2021-06-21,12:00:00,COFORGE,IT_Services,SHORT,3986.5500,1.9517,1.7505,60.00,20.0230,3992.9500,TIME_STOP,-0.001605,-0.004605
2021-06-21,13:00:00,CANBK,Banks,SHORT,149.0500,2.0920,1.6285,60.00,0.9211,150.6620,STOP,-0.010815,-0.013815
2021-06-21,11:15:00,NAUKRI,IT_Services,LONG,4850.0000,-2.6221,-3.0748,90.00,25.9939,4945.0000,TIME_STOP,0.019588,0.016588
2021-06-22,12:00:00,TATASTEEL,Metals_Mining,SHORT,1122.0000,2.1869,2.3546,0.00,3.1641,1127.5371,STOP,-0.004935,-0.007935
2021-06-22,11:30:00,BAJAJFINSV,Insurance,LONG,12143.4004,-1.7727,-1.6277,4.76,32.9444,12196.0000,TIME_STOP,0.004332,0.001332
2021-06-23,10:00:00,BAJFINANCE,NBFC_HFC,SHORT,6099.0000,1.9401,2.9706,63.64,18.3465,6037.0000,TIME_STOP,0.010166,0.007166
2021-06-23,10:15:00,TATASTEEL,Metals_Mining,LONG,1115.0000,-1.8254,-2.0047,18.18,3.1426,1109.5005,STOP,-0.004932,-0.007932
2021-06-23,11:30:00,BAJAJFINSV,Insurance,SHORT,12214.0000,1.7540,1.4185,13.64,33.1337,12271.9839,STOP,-0.004747,-0.007747
2021-06-24,13:30:00,MCX,Capital_Markets,SHORT,1524.2500,3.1335,2.8098,69.57,6.9667,1514.4000,TIME_STOP,0.006462,0.003462
2021-06-24,10:45:00,BAJFINANCE,NBFC_HFC,SHORT,6097.1499,1.8216,1.4189,26.09,18.2006,6066.8501,TIME_STOP,0.004970,0.001970
2021-06-24,12:15:00,TATASTEEL,Metals_Mining,SHORT,1119.6500,2.7016,2.9860,34.78,3.1648,1111.6500,TIME_STOP,0.007145,0.004145
2021-06-25,13:30:00,BAJFINANCE,NBFC_HFC,SHORT,6102.8999,2.0486,1.9064,4.17,18.1097,6087.5498,TIME_STOP,0.002515,-0.000485
2021-06-25,14:00:00,KOTAKBANK,Banks,SHORT,1745.7000,2.8830,2.6850,41.67,6.0056,1737.8000,TIME_STOP,0.004525,0.001525
2021-06-25,13:30:00,BAJAJFINSV,Insurance,SHORT,12503.0996,1.9963,1.5263,25.00,33.1525,12460.9004,TIME_STOP,0.003375,0.000375
2021-06-28,10:45:00,TATASTEEL,Metals_Mining,SHORT,1182.5000,2.7898,2.7117,32.00,3.3466,1188.3565,STOP,-0.004953,-0.007953
2021-06-28,11:00:00,BAJAJFINSV,Insurance,LONG,12383.0000,-1.8839,-1.6289,12.00,31.2176,12328.3692,STOP,-0.004412,-0.007412
2021-06-29,11:15:00,BAJFINANCE,NBFC_HFC,SHORT,6113.0000,1.9689,1.6624,73.08,16.5119,6060.6001,TIME_STOP,0.008572,0.005572
2021-06-29,10:45:00,TATASTEEL,Metals_Mining,LONG,1173.1500,-2.0506,-1.3674,34.62,3.3093,1172.4000,TIME_STOP,-0.000639,-0.003639
2021-06-29,14:00:00,BAJAJFINSV,Insurance,LONG,12325.0000,-2.5220,-1.3064,23.08,31.0010,12343.1504,TIME_STOP,0.001473,-0.001527
2021-07-02,11:15:00,BAJFINANCE,NBFC_HFC,SHORT,6018.0000,1.7969,1.3718,0.00,13.4861,6001.0000,TIME_STOP,0.002825,-0.000175
2021-07-02,10:30:00,TATASTEEL,Metals_Mining,LONG,1152.4500,-1.8609,-2.3854,11.11,3.1022,1147.0210,STOP,-0.004711,-0.007711
2021-07-02,10:45:00,COFORGE,IT_Services,LONG,4153.3501,-2.1046,-1.5502,77.78,21.0300,4116.5476,STOP,-0.008861,-0.011861
2021-07-02,10:15:00,BAJAJFINSV,Insurance,LONG,11740.0000,-2.4907,-3.4184,59.26,27.9952,11691.0084,STOP,-0.004173,-0.007173
2021-07-05,11:30:00,BAJFINANCE,NBFC_HFC,SHORT,6072.0000,2.3125,1.9226,14.29,12.0280,6093.0490,STOP,-0.003467,-0.006467
2021-07-05,13:00:00,TATASTEEL,Metals_Mining,SHORT,1151.1500,2.9214,1.6238,3.57,3.0947,1156.5657,STOP,-0.004705,-0.007705
2021-07-05,12:00:00,NMDC,Metals_Mining,LONG,178.2000,-1.8159,-2.1049,75.00,1.1877,176.1215,STOP,-0.011664,-0.014664
2021-07-06,10:15:00,TATASTEEL,Metals_Mining,LONG,1153.3500,-1.9447,-1.6167,31.03,3.0927,1161.5000,TIME_STOP,0.007066,0.004066
2021-07-06,13:15:00,BAJAJFINSV,Insurance,SHORT,12080.0000,3.6208,3.1125,58.62,26.8998,12127.0747,STOP,-0.003897,-0.006897
2021-07-07,11:15:00,MCX,Capital_Markets,SHORT,1533.0000,2.1835,3.5981,70.00,6.3784,1509.9000,TIME_STOP,0.015068,0.012068
2021-07-07,10:30:00,BAJFINANCE,NBFC_HFC,LONG,6212.0000,-2.4014,-2.9159,76.67,13.4263,6188.5040,STOP,-0.003782,-0.006782
2021-07-07,10:45:00,TATASTEEL,Metals_Mining,LONG,1164.0000,-2.0850,-1.5813,16.67,2.9406,1214.4000,TIME_STOP,0.043299,0.040299
2021-07-07,11:30:00,COFORGE,IT_Services,SHORT,4216.6499,2.1375,1.5885,63.33,21.4662,4233.0000,TIME_STOP,-0.003878,-0.006878
2021-07-07,13:30:00,DRREDDY,Pharma,SHORT,5605.0000,2.0715,1.4561,73.33,17.0492,5570.6001,TIME_STOP,0.006137,0.003137
2021-07-09,11:15:00,BAJFINANCE,NBFC_HFC,LONG,6096.2002,-1.8683,-2.1154,29.03,12.6453,6132.0000,TIME_STOP,0.005872,0.002872
2021-07-09,12:30:00,TATASTEEL,Metals_Mining,SHORT,1216.4500,1.8441,1.7045,70.97,3.0506,1221.7886,STOP,-0.004389,-0.007389
2021-07-09,11:15:00,COFORGE,IT_Services,LONG,4325.0000,-2.6548,-1.6829,87.10,24.0357,4358.3999,TIME_STOP,0.007723,0.004723
2021-07-09,10:15:00,BAJAJFINSV,Insurance,SHORT,12551.7998,2.5058,3.3318,77.42,28.5654,12601.7892,STOP,-0.003983,-0.006983
2021-07-12,13:15:00,BAJFINANCE,NBFC_HFC,LONG,6134.0000,-2.4454,-1.4114,12.50,12.3810,6144.3999,TIME_STOP,0.001695,-0.001305
2021-07-12,10:30:00,TATASTEEL,Metals_Mining,SHORT,1249.9000,2.4234,2.7821,43.75,3.1182,1255.3569,STOP,-0.004366,-0.007366
2021-07-12,14:00:00,BAJAJFINSV,Insurance,SHORT,12904.2002,3.0193,1.4896,6.25,29.6725,12875.0000,TIME_STOP,0.002263,-0.000737
2021-07-13,12:30:00,MCX,Capital_Markets,SHORT,1508.0000,1.9021,1.3367,66.67,6.1159,1518.7027,STOP,-0.007097,-0.010097
2021-07-13,10:00:00,BAJFINANCE,NBFC_HFC,LONG,6164.6499,-2.2813,-2.7992,9.09,11.7265,6144.1285,STOP,-0.003329,-0.006329
2021-07-13,13:00:00,KOTAKBANK,Banks,SHORT,1747.9500,2.4597,1.4964,54.55,5.5632,1748.8000,TIME_STOP,-0.000486,-0.003486
2021-07-14,11:00:00,TATASTEEL,Metals_Mining,SHORT,1234.0500,2.3916,1.9727,23.53,3.1556,1239.5724,STOP,-0.004475,-0.007475
2021-07-14,11:45:00,BAJAJFINSV,Insurance,SHORT,12985.0000,1.8397,1.2903,11.76,28.9266,12985.0000,TIME_STOP,-0.000000,-0.003000
2021-07-14,13:30:00,DRREDDY,Pharma,LONG,5372.7500,-1.8250,-1.5789,76.47,17.4172,5381.8501,TIME_STOP,0.001694,-0.001306
2021-07-15,12:45:00,MCX,Capital_Markets,LONG,1602.0000,-2.1925,-1.5094,57.14,7.9502,1686.0000,TIME_STOP,0.052434,0.049434
2021-07-15,12:30:00,BAJFINANCE,NBFC_HFC,LONG,6122.6001,-2.4221,-1.9857,17.14,11.2803,6124.0000,TIME_STOP,0.000229,-0.002771
2021-07-15,11:15:00,TATASTEEL,Metals_Mining,SHORT,1255.5000,2.0804,1.7436,37.14,3.1974,1261.0955,STOP,-0.004457,-0.007457
2021-07-20,10:45:00,BAJFINANCE,NBFC_HFC,LONG,5908.2002,-4.5864,-4.8994,77.78,11.5881,5965.3501,TIME_STOP,0.009673,0.006673
2021-07-20,10:00:00,TATASTEEL,Metals_Mining,LONG,1244.4000,-2.8892,-4.9429,72.22,3.0802,1239.0097,STOP,-0.004332,-0.007332
2021-07-20,10:45:00,CANBK,Banks,LONG,145.1000,-2.7201,-2.2090,66.67,0.5545,144.1295,STOP,-0.006688,-0.009688
2021-07-20,12:15:00,BAJAJFINSV,Insurance,LONG,12597.0000,-1.9292,-1.3779,25.00,28.9031,12631.9004,TIME_STOP,0.002771,-0.000229
2021-07-20,11:00:00,DRREDDY,Pharma,LONG,5353.5498,-1.9821,-1.6033,86.11,16.9959,5323.8069,STOP,-0.005556,-0.008556
2021-07-22,10:30:00,TATASTEEL,Metals_Mining,SHORT,1268.3500,2.6557,2.9138,48.65,3.2003,1273.9504,STOP,-0.004416,-0.007416
2021-08-02,10:00:00,BAJFINANCE,NBFC_HFC,LONG,6177.8999,-2.3874,-3.8674,78.95,13.3229,6209.8999,TIME_STOP,0.005180,0.002180
2021-08-02,10:00:00,TATASTEEL,Metals_Mining,LONG,1420.0000,-2.1384,-3.3362,57.89,3.6869,1413.5480,STOP,-0.004544,-0.007544
2021-08-02,10:00:00,BAJAJFINSV,Insurance,LONG,14165.0000,-2.9459,-3.3436,78.95,35.8224,14102.3108,STOP,-0.004426,-0.007426
2021-08-02,12:45:00,NMDC,Metals_Mining,SHORT,183.2500,2.5358,1.8384,68.42,1.0879,181.7000,TIME_STOP,0.008458,0.005458
2021-08-03,11:30:00,BAJFINANCE,NBFC_HFC,SHORT,6290.7500,2.0171,1.8099,28.21,13.4536,6276.9502,TIME_STOP,0.002194,-0.000806
2021-08-03,10:15:00,TATASTEEL,Metals_Mining,LONG,1395.1000,-1.7586,-2.5370,30.77,3.6953,1408.0000,TIME_STOP,0.009247,0.006247
2021-08-03,12:00:00,COFORGE,IT_Services,LONG,5103.0000,-2.0561,-1.2872,43.59,30.7053,5049.2658,STOP,-0.010530,-0.013530
